burst_id,input_n_peaks,input_shot_sigma_ms,acf_sigma_ms,acf_fwhm_ms,acf_resid_rms,peak_count,peak_rate_per_ms,t90_ms,median_peak_width_ms,mean_peak_width_ms,median_sep_ms,mean_sep_ms,sep_cv,amplitude_entropy,amplitude_gini,profile_modulation_index,psd_slope,peak_threshold_sigma,min_peak_distance_ms,complexity_mode,used_will,will_method,duration_ms,tsamp_ms,dm,nfreq
sparse_n03_r00,3,0.08,0.10997609975109468,0.258973924168201,0.04600084849192825,5,1.3297872340425532,3.7600000000000002,0.1889355113130125,0.117739010504719,0.368,0.908,1.0821861846415148,0.575850443242658,0.5884798130258746,27.1652981313137,-3.4868446108305737,5.0,0.04,sparse,True,twodim,12.0,0.016,220.0,128
sparse_n03_r01,3,0.08,0.10464571640239886,0.24642183061099285,0.09426372869131287,7,1.9707207207207207,3.552,0.011386004414045602,0.08664443115288943,0.328,0.6133333333333333,0.7972068441520991,0.5243153074787633,0.6661305466609977,25.214405318978123,-3.204926230997277,5.0,0.04,sparse,True,twodim,12.0,0.016,220.0,128
sparse_n03_r02,3,0.08,0.1131517969170436,0.2664521195115255,0.0004460633110444572,4,0.5330490405117271,7.5040000000000004,0.1884754392808501,0.14549492125872127,3.3280000000000003,2.4320000000000004,0.6115472785229958,0.7815846595983332,0.32123354846425056,23.63417661050806,-3.0308853166046585,5.0,0.04,sparse,True,twodim,12.0,0.016,220.0,128
sparse_n03_r03,3,0.08,0.13403340488546628,0.31562454852804517,0.026731397596035173,3,0.6720430107526881,4.464,0.18870491527777358,0.17587107903572693,2.112,2.112,0.8636363636363635,0.9283629376075587,0.19743679881889675,24.899459192210696,-3.0591147568182175,5.0,0.04,sparse,True,twodim,12.0,0.016,220.0,128
sparse_n03_r04,3,0.08,0.1065812423135887,0.25097964582433946,0.09702416313347947,5,0.9272997032640949,5.392,0.18362549020887492,0.11566478977962524,0.7040000000000001,1.304,1.003906705084232,0.6818500693579913,0.43429018617721415,23.52257040193628,-2.9109088217244623,5.0,0.04,sparse,True,twodim,12.0,0.016,220.0,128
sparse_n03_r05,3,0.08,0.10560506060131007,0.24868091356067312,0.08707252839407326,5,2.44140625,2.048,0.18070986923496185,0.11890590704089865,0.448,0.47600000000000003,0.7684826855693717,0.6261327503046931,0.5663841651306014,29.19740198113613,-3.4581509054634734,5.0,0.04,sparse,True,twodim,12.0,0.016,220.0,128
sparse_n06_r00,6,0.08,0.12234441014327081,0.2880990694028619,0.020986653337404827,8,0.9784735812133072,8.176,0.09710515324736048,0.10161624924030827,0.32,1.1497142857142857,1.4657117484862854,0.7256631700214917,0.5449780024412183,23.70982506027975,-3.260620993263194,5.0,0.04,sparse,True,twodim,12.0,0.016,220.0,128
sparse_n06_r01,6,0.08,0.1345928863148808,0.3169420266128531,0.10433979655956059,6,0.7861635220125786,7.632000000000001,0.15217455922641263,0.1282483319621887,0.304,1.4944000000000002,1.714942757823193,0.9207961080043908,0.29085192207377863,21.88652252152796,-2.896257515361751,5.0,0.04,sparse,True,twodim,12.0,0.016,220.0,128
sparse_n06_r02,6,0.08,0.11203654718052974,0.2638259070767671,0.09820096553572387,10,1.3498920086393087,7.408,0.10403770994038404,0.10810274773574027,0.432,0.8088888888888889,0.8350028761410759,0.6926045934399816,0.5569646267296566,17.965938144506676,-2.8569826727052647,5.0,0.04,sparse,True,twodim,12.0,0.016,220.0,128
sparse_n06_r03,6,0.08,0.11027934670420252,0.25968801617197385,0.06271437080260393,10,1.4705882352941178,6.8,0.16530257430216033,0.11472519124665874,0.304,0.7484444444444445,1.3075874663020126,0.8069550357492764,0.4639696913540572,18.238828627318043,-2.943320581707876,5.0,0.04,sparse,True,twodim,12.0,0.016,220.0,128
sparse_n06_r04,6,0.08,0.13039714759240462,0.3070618169654536,0.04746588426540482,14,1.6666666666666665,8.4,0.013058668800561692,0.08344620567150758,0.272,0.6252307692307693,1.342860233437275,0.687883814979016,0.6481549758411331,19.240205125192485,-2.9478326432092246,5.0,0.04,sparse,True,twodim,12.0,0.016,220.0,128
sparse_n06_r05,6,0.08,0.1041305133770869,0.24520862019972764,0.07472849911362685,12,1.2755102040816326,9.408,0.11686748824807751,0.10391473137233799,0.32,0.8436363636363637,0.8628065809873067,0.763087639657393,0.5016832830460805,17.579996534317356,-2.6629443534282196,5.0,0.04,sparse,True,twodim,12.0,0.016,220.0,128
sparse_n12_r00,12,0.08,0.12507543665425963,0.2945301453744493,0.061874038979242776,17,2.2800429184549356,7.456,0.1403488284234545,0.1261080906855514,0.28,0.538,0.9651047352407445,0.8911197092327592,0.3633432895938875,13.600337279278296,-2.7037070391135347,5.0,0.04,sparse,True,twodim,12.0,0.016,220.0,128
sparse_n12_r01,12,0.08,0.1552313338759015,0.36554185662786465,0.059333560076520415,20,2.204585537918871,9.072000000000001,0.01536256719443236,0.09683991531551937,0.304,0.4926315789473685,1.2546030377110962,0.8519123969572013,0.4577668309747689,14.97297278932117,-2.717332708815871,5.0,0.04,sparse,True,twodim,12.0,0.016,220.0,128
sparse_n12_r02,12,0.08,0.11552120772833749,0.27203165558487336,0.04378166177927394,21,2.490512333965844,8.432,0.02398564268048085,0.09259007308764675,0.312,0.43280000000000013,0.9728760529369148,0.8013069874982229,0.5443584223960296,15.022735390757026,-2.7276162028200894,5.0,0.04,sparse,True,twodim,12.0,0.016,220.0,128
sparse_n12_r03,12,0.08,0.10459550495830697,0.2463035916959553,0.107120811632285,19,2.2576045627376424,8.416,0.16431026125203427,0.11470350626779531,0.352,0.48800000000000004,0.784776317833064,0.8728801194928664,0.414884895192859,12.889609198342027,-2.617084428707313,5.0,0.04,sparse,True,twodim,12.0,0.016,220.0,128
